day,Boris,Bucket,Chestnut,Chickweed,Clementine,Divebomber,Earhart,Earlybird,Grimace,Hunter,Inkpot,Iris,Kernel,Lazarus,Niblet,Piper,Tiresias,Weddy,Zipper
1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
2,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0
3,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0
4,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1
5,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
6,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1
7,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0
9,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1
10,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
11,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
12,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
13,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0
14,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1
15,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0
16,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
17,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1
18,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
19,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0
20,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
21,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
22,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
23,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0
24,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1
25,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
26,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0
27,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1
28,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0
29,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
30,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0
31,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0
